,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-03-17,35.13520050048828,-18.93195552022227,-15.50465141944185,-35.74563180725858,-33.34156849706912,4.65128393296618,5.357
2020-03-23,35.12498092651367,-15.50465141944185,-19.26916962518293,-33.34156849706912,-38.38456630186561,21.203439034637995,0.0
2020-03-23,35.12498092651367,-15.50465141944185,-19.26916962518293,-33.34156849706912,-38.38456630186561,21.203439034637995,0.0
2020-03-29,35.13436508178711,-19.26916962518293,-17.70816360037775,-38.38456630186561,-41.25140909889981,0.3302095832186751,1.037
2020-03-29,35.13436508178711,-19.26916962518293,-17.70816360037775,-38.38456630186561,-41.25140909889981,0.3302095832186751,1.037
2020-04-04,35.12494277954102,-17.70816360037775,-13.78034698968904,-41.25140909889981,-39.66402528357302,15.11327870831883,8.965
2020-04-04,35.12494277954102,-17.70816360037775,-13.78034698968904,-41.25140909889981,-39.66402528357302,15.11327870831883,8.965
2020-04-10,35.13999176025391,-13.78034698968904,-16.0054580688679,-39.66402528357302,-39.09075641670973,30.79454643605277,7.312
2020-04-10,35.13999176025391,-13.78034698968904,-16.0054580688679,-39.66402528357302,-39.09075641670973,30.79454643605277,7.312
2020-04-16,35.12987899780273,-16.0054580688679,-14.99722866913772,-39.09075641670973,-33.74246562145701,0.03604850097326562,3.846
2020-04-16,35.12987899780273,-16.0054580688679,-14.99722866913772,-39.09075641670973,-33.74246562145701,0.03604850097326562,3.846
2020-04-22,35.1388053894043,-14.99722866913772,-16.71544652741678,-33.74246562145701,-39.32080430044043,39.820773334708065,8.010000000000002
2020-04-22,35.1388053894043,-14.99722866913772,-16.71544652741678,-33.74246562145701,-39.32080430044043,39.820773334708065,8.010000000000002
2020-04-28,35.1312255859375,-16.71544652741678,-17.25149133230237,-39.32080430044043,-41.35980385249763,13.298233409645036,16.92
2020-04-28,35.1312255859375,-16.71544652741678,-17.25149133230237,-39.32080430044043,-41.35980385249763,13.298233409645036,16.92
2020-05-04,35.13969421386719,-17.25149133230237,-12.86055065344875,-41.35980385249763,-38.97092804469941,9.603900833695661,17.267
2020-05-04,35.13969421386719,-17.25149133230237,-12.86055065344875,-41.35980385249763,-38.97092804469941,9.603900833695661,17.267
2020-05-10,35.13158416748047,-12.86055065344875,-13.99944611842962,-38.97092804469941,-31.95197005971512,40.41355832939735,27.161
2020-05-10,35.13158416748047,-12.86055065344875,-13.99944611842962,-38.97092804469941,-31.95197005971512,40.41355832939735,27.161
2020-05-16,35.13966369628906,-13.99944611842962,-16.14688910808636,-31.95197005971512,-34.95952627778374,31.248208811783115,33.365
2020-05-16,35.13966369628906,-13.99944611842962,-16.14688910808636,-31.95197005971512,-34.95952627778374,31.248208811783115,33.365
2020-05-22,35.13048553466797,-16.14688910808636,-13.0992307595713,-34.95952627778374,-33.97296078058916,26.879165090563767,12.864
2020-05-22,35.13048553466797,-16.14688910808636,-13.0992307595713,-34.95952627778374,-33.97296078058916,26.879165090563767,12.864
2020-05-28,35.13979721069336,-13.0992307595713,-11.17714228457899,-33.97296078058916,-29.36202920746539,30.165820655412972,10.223
2020-05-28,35.13979721069336,-13.0992307595713,-11.17714228457899,-33.97296078058916,-29.36202920746539,30.165820655412972,10.223
2020-06-03,35.12834167480469,-11.17714228457899,-12.0988787101643,-29.36202920746539,-29.13087823130995,43.324786726851016,6.364999999999999
2020-06-03,35.12834167480469,-11.17714228457899,-12.0988787101643,-29.36202920746539,-29.13087823130995,43.324786726851016,6.364999999999999
2020-06-09,35.14066314697266,-12.0988787101643,-12.58967265766173,-29.13087823130995,-31.13747413407555,41.22455835196888,41.19600000000001
2020-06-09,35.14066314697266,-12.0988787101643,-12.58967265766173,-29.13087823130995,-31.13747413407555,41.22455835196888,41.19600000000001
